formation_days,entry_z,max_pairs,cost_bps_per_side,is_default,n_oos_days,gross_sharpe,gross_ann_return,net_sharpe,net_ann_return,net_ann_vol,net_max_drawdown,ann_turnover,net_cumulative
252,1.5,20,10,False,4662,-0.39461677,-0.0098733572,-0.70379765,-0.017317239,0.024397105,-0.27995274,6.7675676,-0.27615306
252,1.5,20,20,False,4662,-0.39461677,-0.0098733572,-0.979448,-0.023946753,0.024440494,-0.3633079,6.7675676,-0.36135437
252,1.5,50,0,False,4662,-0.61572139,-0.010735805,-0.65224418,-0.011360777,0.017288052,-0.19094851,5.2864865,-0.19053145
252,1.5,50,1,False,4662,-0.61572139,-0.010735805,-0.68277139,-0.011883329,0.01728936,-0.19881838,5.2864865,-0.19841018
252,1.5,50,2,False,4662,-0.61572139,-0.010735805,-0.71328256,-0.012405611,0.017290944,-0.20661177,5.2864865,-0.20621231
252,1.5,50,5,False,4662,-0.61572139,-0.010735805,-0.80470524,-0.013970835,0.017297358,-0.22954055,5.2864865,-0.22916651
252,1.5,50,10,False,4662,-0.61572139,-0.010735805,-0.95662016,-0.016574148,0.017313578,-0.26629374,5.2864865,-0.26595957
252,1.5,50,20,False,4662,-0.61572139,-0.010735805,-1.2580995,-0.021760605,0.017366675,-0.3346295,5.2864865,-0.33436639
252,2,5,0,False,4662,-0.10083215,-0.0030785407,-0.12340368,-0.0036852211,0.026970582,-0.15419041,5.7297297,-0.066022118
252,2,5,1,False,4662,-0.10083215,-0.0030785407,-0.14462498,-0.0042560478,0.026974884,-0.16017645,5.7297297,-0.075872209
252,2,5,2,False,4662,-0.10083215,-0.0030785407,-0.16583592,-0.0048265645,0.026979771,-0.1668214,5.7297297,-0.085618706
252,2,5,5,False,4662,-0.10083215,-0.0030785407,-0.22939289,-0.0065362559,0.026997933,-0.18644363,5.7297297,-0.11424744
252,2,5,10,False,4662,-0.10083215,-0.0030785407,-0.33498699,-0.0093795558,0.027039852,-0.21812959,5.7297297,-0.15998933
252,2,5,20,False,4662,-0.10083215,-0.0030785407,-0.54432489,-0.01504303,0.0271671,-0.27834631,5.7297297,-0.24452644
252,2,20,0,False,4662,-0.35604055,-0.0070834703,-0.38480895,-0.0076386771,0.019435522,-0.1473454,5.2162162,-0.13225555
252,2,20,1,False,4662,-0.35604055,-0.0070834703,-0.41163483,-0.008156208,0.019436121,-0.15345035,5.2162162,-0.14058947
252,2,20,2,False,4662,-0.35604055,-0.0070834703,-0.4384518,-0.0086734762,0.019437042,-0.15951167,5.2162162,-0.14884347
252,2,20,5,True,4662,-0.35604055,-0.0070834703,-0.51883595,-0.010223707,0.019441735,-0.18127689,5.2162162,-0.17313353
252,2,20,10,False,4662,-0.35604055,-0.0070834703,-0.6525077,-0.012802183,0.019455984,-0.21885327,5.2162162,-0.21208849
252,2,20,20,False,4662,-0.35604055,-0.0070834703,-0.91813251,-0.017939543,0.019508508,-0.28891842,5.2162162,-0.28458647
252,2,50,0,False,4662,-0.59176426,-0.0079615472,-0.62526061,-0.0084057127,0.013357402,-0.1460732,4.0475676,-0.1445802
252,2,50,1,False,4662,-0.59176426,-0.0079615472,-0.65543046,-0.008807036,0.013360096,-0.15231381,4.0475676,-0.15096246
252,2,50,2,False,4662,-0.59176426,-0.0079615472,-0.6855751,-0.009208201,0.013363045,-0.15850888,4.0475676,-0.15729716
252,2,50,5,False,4662,-0.59176426,-0.0079615472,-0.77584083,-0.010410746,0.013373415,-0.17707017,4.0475676,-0.17601946
252,2,50,10,False,4662,-0.59176426,-0.0079615472,-0.92562274,-0.012411825,0.013395765,-0.20719,4.0475676,-0.20630471
252,2,50,20,False,4662,-0.59176426,-0.0079615472,-1.2219757,-0.016402151,0.013459345,-0.26416692,4.0475676,-0.26358089
252,2.5,5,0,False,4662,0.020403895,0.00020788311,0.0024789398,-0.00015651289,0.020328342,-0.10392689,4.5405405,-0.0028915265
252,2.5,5,1,False,4662,0.020403895,0.00020788311,-0.019853696,-0.00061046919,0.020331797,-0.10727557,4.5405405,-0.011233556
252,2.5,5,2,False,4662,0.020403895,0.00020788311,-0.042177433,-0.001064233,0.020335884,-0.11061184,4.5405405,-0.019506042
252,2.5,5,5,False,4662,0.020403895,0.00020788311,-0.10907456,-0.0024243706,0.020351927,-0.12054667,4.5405405,-0.043911993
252,2.5,5,10,False,4662,0.020403895,0.00020788311,-0.22019979,-0.0046874248,0.020391245,-0.13909342,4.5405405,-0.083250701
252,2.5,5,20,False,4662,0.020403895,0.00020788311,-0.44016324,-0.0091991601,0.02051668,-0.19275476,4.5405405,-0.15715489
252,2.5,20,0,False,4662,-0.19620748,-0.0031169061,-0.21928063,-0.0034691635,0.015313377,-0.092002895,4.2540541,-0.062268022
252,2.5,20,1,False,4662,-0.19620748,-0.0031169061,-0.24705292,-0.0038930171,0.015313854,-0.096794332,4.2540541,-0.069619253
252,2.5,20,2,False,4662,-0.19620748,-0.0031169061,-0.27481745,-0.0043166963,0.015314667,-0.10156055,4.2540541,-0.076912955
252,2.5,20,5,False,4662,-0.19620748,-0.0031169061,-0.35804623,-0.0055866879,0.015319122,-0.11661373,4.2540541,-0.098453365
252,2.5,20,10,False,4662,-0.19620748,-0.0031169061,-0.49643591,-0.0076998582,0.01533326,-0.14446776,4.2540541,-0.13324474
252,2.5,20,20,False,4662,-0.19620748,-0.0031169061,-0.77119226,-0.011913172,0.015386611,-0.20665231,4.2540541,-0.19885794
252,2.5,50,0,False,4662,-0.46991865,-0.0047767785,-0.4968769,-0.005047489,0.010081761,-0.09515989,3.2778378,-0.089366717
252,2.5,50,1,False,4662,-0.46991865,-0.0047767785,-0.52923033,-0.0053736024,0.010084793,-0.10012534,3.2778378,-0.09487272
252,2.5,50,2,False,4662,-0.46991865,-0.0047767785,-0.56154898,-0.0056996121,0.010088099,-0.1050636,3.2778378,-0.10034549
252,2.5,50,5,False,4662,-0.46991865,-0.0047767785,-0.65827037,-0.0066770195,0.01009967,-0.11971666,3.2778378,-0.11656636
252,2.5,50,10,False,4662,-0.46991865,-0.0047767785,-0.81853791,-0.0083039609,0.010124433,-0.14518282,3.2778378,-0.14295484
252,2.5,50,20,False,4662,-0.46991865,-0.0047767785,-1.1344631,-0.011550092,0.010194311,-0.19441244,3.2778378,-0.19339427
504,1.5,5,0,False,4410,-0.34974358,-0.014396443,-0.37416098,-0.01534185,0.039252904,-0.27155926,5.9885714,-0.23705032
504,1.5,5,1,False,4410,-0.34974358,-0.014396443,-0.38942062,-0.015931369,0.039252576,-0.27903882,5.9885714,-0.24500463
504,1.5,5,2,False,4410,-0.34974358,-0.014396443,-0.4046762,-0.016520553,0.039252665,-0.28644179,5.9885714,-0.25287624
504,1.5,5,5,False,4410,-0.34974358,-0.014396443,-0.45041375,-0.018286093,0.039255441,-0.308199,5.9885714,-0.27600343
504,1.5,5,10,False,4410,-0.34974358,-0.014396443,-0.52651655,-0.021221968,0.039268427,-0.3430008,5.9885714,-0.31297312
504,1.5,5,20,False,4410,-0.34974358,-0.014396443,-0.67803125,-0.027068709,0.039325692,-0.40745379,5.9885714,-0.38136
504,1.5,20,0,False,4410,-0.3291895,-0.0090819952,-0.36405687,-0.010002601,0.026636189,-0.17724806,5.4114286,-0.16132067
504,1.5,20,1,False,4410,-0.3291895,-0.0090819952,-0.38437685,-0.010538202,0.026635918,-0.18424071,5.4114286,-0.16922571
504,1.5,20,2,False,4410,-0.3291895,-0.0090819952,-0.40469305,-0.011073522,0.026635924,-0.19117403,5.4114286,-0.17705637
504,1.5,20,5,False,4410,-0.3291895,-0.0090819952,-0.46561258,-0.012677796,0.026637601,-0.21225035,5.4114286,-0.20010898
504,1.5,20,10,False,4410,-0.3291895,-0.0090819952,-0.56701036,-0.015345972,0.026645926,-0.24781314,5.4114286,-0.23710621
